image_name,group,candidate_count,top_status,top_confidence,top_amount_score,top_text,top_bbox,top_reason,top_raw_status,top_raw_confidence,top_raw_reason,top_source,top_flags,top_ocr_confidence,top_has_local_reason,top_readable_amount,top_downgraded,review_priority,preview_path,needs_review,top3_candidates_json
111.png,111,1,篡改,0.7958,1.3500,申咂蒹{206031617.162,"243,497,904,569",全局UI布局异常,篡改,0.7958,全局UI布局异常,token,money_regex|prominent,0.0014,no,no,no,26.0290,/home/quyu/ai_detection_standalone/results/amount_batch_pptest_20260416/review_previews/111.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.7958"", ""reason"": ""全局UI布局异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.7958"", ""raw_reason"": ""全局UI布局异常"", ""text"": ""申咂蒹{206031617.162"", ""bbox"": ""243,497,904,569"", ""amount_score"": ""1.3500"", ""ocr_confidence"": ""0.0014"", ""source"": ""token"", ""flags"": ""money_regex|prominent"", ""review_priority"": ""26.0290"", ""has_local_reason"": ""no"", ""readable_amount"": ""no"", ""downgraded"": ""no"", ""candidate_count"": 1}]"
92e595cffb63d039f10b271f23b180dd.png,92e595cffb63d039f10b271f23b180dd,4,篡改,0.7600,0.4000,5558900元,"93,323,597,423",电子凭证金额行结构异常,篡改,0.7600,电子凭证金额行结构异常,document_rule,currency_hint|compact_digits|certificate_header|certificate_amount_row|ocr_structure_anomaly,0.1753,yes,no,no,24.2000,/home/quyu/ai_detection_standalone/results/amount_batch_pptest_20260416/review_previews/92e595cffb63d039f10b271f23b180dd.jpg,yes,"[{""status"": ""篡改"", ""confidence"": ""0.7600"", ""reason"": ""电子凭证金额行结构异常"", ""raw_status"": ""篡改"", ""raw_confidence"": ""0.7600"", ""raw_reason"": ""电子凭证金额行结构异常"", ""text"": ""5558900元"", ""bbox"": ""93,323,597,423"", ""amount_score"": ""0.4000"", ""ocr_confidence"": ""0.1753"", ""source"": ""document_rule"", ""flags"": ""currency_hint|compact_digits|certificate_header|certificate_amount_row|ocr_structure_anomaly"", ""review_priority"": ""24.2000"", ""has_local_reason"": ""yes"", ""readable_amount"": ""no"", ""downgraded"": ""no"", ""candidate_count"": 4}, {""status"": ""正常"", ""confidence"": ""0.0838"", ""reason"": ""未检出明显篡改痕迹"", ""raw_status"": ""正常"", ""raw_confidence"": ""0.0838"", ""raw_reason"": ""未检出明显篡改痕迹"", ""text"": ""4555890元"", ""bbox"": ""317,363,429,383"", ""amount_score"": ""0.4000"", ""ocr_confidence"": ""0.1753"", ""source"": ""token"", ""flags"": ""currency_hint|compact_digits"", ""review_priority"": ""1.8188"", ""has_local_reason"": ""no"", ""readable_amount"": ""no"", ""downgraded"": ""no""}, {""status"": ""正常"", ""confidence"": ""0.0115"", ""reason"": ""未检出明显篡改痕迹"", ""raw_status"": ""正常"", ""raw_confidence"": ""0.0115"", ""raw_reason"": ""未检出明显篡改痕迹"", ""text"": ""欲信支付转然电孑凭证耐^[7/孽元"", ""bbox"": ""421,169,895,212"", ""amount_score"": ""0.3500"", ""ocr_confidence"": ""0.0142"", ""source"": ""line"", ""flags"": ""currency_hint|prominent"", ""review_priority"": ""1.4074"", ""has_local_reason"": ""no"", ""readable_amount"": ""no"", ""downgraded"": ""no""}]"
